scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
20250600000000.0,188679144,9.0,9.0,,42.66619,-73.79031,4.0,1.0,2.0,2.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,30,60,90,365,54.0,2.0,0.0,206,4.0,12,1512.0,4.8,4.83,4.87,4.93,4.93,4.87,4.74,,8.0,8.0,0.0,0,0.75
20250600000000.0,172223381,2.0,2.0,,42.65085,-73.80239,1.0,1.0,1.0,1.0,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,10,17,42,221,13.5,5.0,0.0,158,4.0,255,13515.0,4.97,4.99,4.99,4.98,4.98,4.98,4.98,,2.0,0.0,2.0,0,6.03
20250600000000.0,299638115,4.0,4.0,,42.65507,-73.76138,4.0,1.0,2.0,2.0,2.0,365,2.0,3.0,365,1125,2.9,1091.7,,28,51,81,356,44.0,5.0,2.0,197,5.0,30,3120.0,4.75,4.77,4.77,4.64,4.98,4.59,4.52,,4.0,4.0,0.0,0,0.66
20250600000000.0,188679144,9.0,9.0,,42.65483,-73.78033,4.0,1.0,1.0,1.0,5.0,1125,5.0,5.0,1125,1125,5.0,1125.0,,30,60,90,365,24.0,1.0,0.0,206,0.0,10,1100.0,4.46,4.46,4.58,4.83,4.88,4.71,4.33,,8.0,8.0,0.0,0,0.35
20250600000000.0,152762198,9.0,17.0,,42.66827,-73.79231,5.0,1.0,2.0,3.0,3.0,700,3.0,3.0,700,700,3.0,700.0,,22,41,41,314,130.0,22.0,1.0,155,22.0,132,12144.0,4.86,4.94,4.9,4.96,4.97,4.92,4.82,,9.0,9.0,0.0,0,1.94
20250600000000.0,47491906,2.0,5.0,,42.67773,-73.73899,4.0,1.0,1.0,3.0,1.0,800,1.0,1.0,800,800,1.0,800.0,,7,7,7,7,13.5,7.0,0.0,7,2.0,42,5082.0,4.99,4.99,4.99,4.99,4.99,4.97,4.95,,1.0,1.0,0.0,0,2.63
20250600000000.0,59864591,1.0,1.0,,42.65115,-73.7668,4.0,1.0,2.0,2.0,1.0,1125,1.0,2.0,1125,1125,1.3,1125.0,,0,0,0,0,4.0,0.0,0.0,0,0.0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1.0,1.0,0.0,0,0.08
20250600000000.0,188679144,9.0,9.0,,42.65315,-73.76202,4.0,1.0,2.0,2.0,1.0,1125,1.0,7.0,1125,1125,7.0,1125.0,,30,60,90,365,24.0,2.0,0.0,206,2.0,28,3416.0,4.75,4.71,4.79,4.79,4.79,4.79,4.67,,8.0,8.0,0.0,0,0.37
20250600000000.0,41400541,1.0,5.0,,42.66403,-73.81446,2.0,1.0,1.0,1.0,1.0,7,1.0,1.0,7,7,1.0,7.0,,0,0,8,97,13.5,28.0,0.0,97,4.0,168,8736.0,4.91,4.96,4.86,4.98,4.98,4.92,4.95,,1.0,0.0,1.0,0,2.9
20250600000000.0,121680792,4.0,5.0,,42.6469,-73.75761,6.0,1.0,3.0,3.0,3.0,1125,3.0,4.0,1125,1125,3.0,1125.0,,0,0,0,9,27.0,0.0,0.0,1,0.0,0,0.0,4.9,4.9,4.9,5.0,5.0,4.26,4.9,,5.0,5.0,0.0,0,0.45
